ID	WORD	TAG
8	ARVN	NNP
9	officers	NNS
10	who	WP
11	were	VBD
12	secretly	RB
13	working	VBG
14	for	IN
15	the	DT
16	other	JJ
17	side	NN
18	in	IN
19	Vietnam	NNP
20	.	.
		
1	Al	NNP
2	-	HYPH
3	Zaman	NNP
4	:	:
5	Guerrillas	NNS
6	killed	VBD
7	a	DT
8	member	NN
9	of	IN
10	the	DT
11	Kurdistan	NNP
12	Democratic	NNP
13	Party	NNP
14	after	IN
15	kidnapping	VBG
16	him	PRP
17	in	IN
18	Mosul	NNP
19	.	.
		
1	The	DT
2	police	NN
3	commander	NN
4	of	IN
5	Ninevah	NNP
6	Province	NNP
7	announced	VBD
8	that	IN
9	bombings	NNS
10	had	VBD
11	declined	VBN
12	80	CD
13	percent	NN
14	in	IN
15	Mosul	NNP
16	,	,
17	whereas	IN
18	there	EX
19	had	VBD
20	been	VBN
21	a	DT
22	big	JJ
23	jump	NN
24	in	IN
25	the	DT
26	number	NN
27	of	IN
28	kidnappings	NNS
29	.	.
		
1	On	IN
2	Wednesday	NNP
3	guerrillas	NNS
4	had	VBD
5	kidnapped	VBN
6	a	DT
7	cosmetic	JJ
8	surgeon	NN
9	and	CC
10	his	PRP$
11	wife	NN
12	while	IN
13	they	PRP
14	were	VBD
15	on	IN
16	their	PRP$
17	way	NN
18	home	RB
19	.	.
		
1	In	IN
2	Suwayrah	NNP
3	,	,
4	Kut	NNP
5	Province	NNP
6	,	,
7	two	CD
8	car	NN
9	bombs	NN
10	were	VBD
11	discovered	VBN
12	before	IN
13	they	PRP
14	could	MD
15	be	VB
16	detonated	VBN
17	.	.
		
1	(	-LRB-
2	Kut	NNP
3	is	VBZ
4	in	IN
5	southeastern	JJ
6	Iraq	NNP
7	and	CC
8	has	VBZ
9	an	DT
10	overwhelmingly	RB
11	Shiite	JJ
12	population	NN
13	,	,
14	who	WP
15	are	VBP
16	on	IN
17	the	DT
18	lookout	NN
19	for	IN
20	Baathist	NNP
21	saboteurs	NNS
22	and	CC
23	willingly	RB
24	turn	VBP
25	them	PRP
26	in	RP
27	.	.
		
1	This	DT
2	willingness	NN
3	is	VBZ
4	the	DT
5	main	JJ
6	difference	NN
7	in	IN
8	the	DT
9	number	NN
10	of	IN
11	bombings	NNS
12	in	IN
13	the	DT
14	south	NN
15	as	IN
16	opposed	VBN
17	to	IN
18	the	DT
19	center	NN
20	-	HYPH
21	north	NN
22	of	IN
23	the	DT
24	country	NN
25	.	.
26	)	-RRB-
		
1	In	IN
2	Baghdad	NNP
3	Kadhim	NNP
4	Talal	NNP
5	Husain	NNP
6	,	,
7	assistant	JJ
8	dean	NN
9	at	IN
10	the	DT
11	School	NNP
12	of	IN
13	Education	NNP
14	at	IN
15	Mustansiriyah	NNP
16	University	NNP
17	,	,
18	was	VBD
19	assassinated	VBN
20	with	IN
21	his	PRP$
22	driver	NN
23	in	IN
24	the	DT
25	Salikh	NNP
26	district	NN
27	.	.
		
1	Guerrillas	NNS
2	killed	VBD
3	an	DT
4	engineer	NN
5	,	,
6	Asi	NNP
7	Ali	NNP
8	,	,
9	from	IN
10	Tikrit	NNP
11	.	.
		
1	They	PRP
2	also	RB
3	killed	VBD
4	Shaikh	NNP
5	Hamid	NNP
6	'Akkab	NNP
7	,	,
8	a	DT
9	clan	NN
10	elder	NN
11	of	IN
12	a	DT
13	branch	NN
14	of	IN
15	the	DT
16	Dulaim	NNP
17	tribe	NN
18	in	IN
19	Tikrit	NNP
20	.	.
		
1	His	PRP$
2	mother	NN
3	was	VBD
4	also	RB
5	killed	VBN
6	in	IN
7	the	DT
8	attack	NN
9	.	.
		
1	Two	CD
2	other	JJ
3	Dulaim	NNP
4	leaders	NNS
5	have	VBP
6	been	VBN
7	killed	VBN
8	in	IN
9	the	DT
10	past	JJ
11	week	NN
12	and	CC
13	a	DT
14	half	NN
15	.	.
		
1	Guerrillas	NNS
2	near	IN
3	Hawijah	NNP
4	launched	VBD
5	an	DT
6	attack	NN
7	that	WDT
8	left	VBD
9	6	CD
10	dead	JJ
11	,	,
12	including	VBG
13	4	CD
14	Iraqi	JJ
15	soldiers	NNS
16	.	.
		
1	One	CD
2	of	IN
3	them	PRP
4	was	VBD
5	from	IN
6	the	DT
7	Jubur	NNP
8	tribe	NN
9	and	CC
10	was	VBD
11	deputy	NN
12	commander	NN
13	of	IN
14	the	DT
15	Hawijah	NNP
16	garrison	NN
17	.	.
		
1	Two	CD
2	hundred	CD
3	members	NNS
4	of	IN
5	the	DT
6	Batawi	NNP
7	clan	NN
8	of	IN
9	the	DT
10	Dulaim	NNP
11	demonstrated	VBD
12	in	IN
13	Baghdad	NNP
14	on	IN
15	Friday	NNP
16	,	,
17	protesting	VBG
18	the	DT
19	killing	NN
20	of	IN
21	their	PRP$
22	clan	NN
23	elder	NN
24	,	,
25	Shaikh	NNP
26	Kadhim	NNP
27	Sarhid	NNP
28	and	CC
29	4	CD
30	of	IN
31	his	PRP$
32	sons	NNS
33	,	,
34	by	IN
35	gunmen	NNS
36	wearing	VBG
37	Iraqi	JJ
38	army	NN
39	uniforms	NNS
40	.	.
		
1	(	-LRB-
2	This	DT
3	is	VBZ
4	a	DT
5	largely	RB
6	Sunni	JJ
7	Arab	JJ
8	clan	NN
9	,	,
10	and	CC
11	some	DT
12	Sunni	JJ
13	observers	NNS
14	have	VBP
15	accused	VBN
16	Shiite	JJ
17	elements	NNS
18	in	IN
19	the	DT
20	government	NN
21	of	IN
22	being	VBG
23	behind	IN
24	the	DT
25	assassination	NN
26	;	,
27	it	PRP
28	is	VBZ
29	more	RBR
30	likely	RB
31	the	DT
32	work	NN
33	of	IN
34	Sunni	JJ
35	Arab	JJ
36	guerrillas	NNS
37	punishing	VBG
38	the	DT
39	Batawi	NNP
40	leaders	NNS
41	for	IN
42	cooperating	VBG
43	with	IN
44	the	DT
45	Dec.	NNP
46	15	CD
47	elections	NNS
48	.	.
49	)	-RRB-
		
1	Al	NNP
2	-	HYPH
3	Zaman	NNP
4	:	:
5	The	DT
6	Iraqi	JJ
7	High	NNP
8	Electoral	NNP
9	Commission	NNP
10	on	IN
11	Friday	NNP
12	denied	VBD
13	a	DT
14	request	NN
15	of	IN
16	the	DT
17	Debaathification	NNP
18	Commission	NNP
19	to	TO
20	exclude	VB
21	51	CD
22	individuals	NNS
23	from	IN
24	running	VBG
25	on	IN
26	party	NN
27	lists	NNS
28	in	IN
29	the	DT
30	Dec.	NNP
31	15	CD
32	elections	NNS
33	on	IN
34	grounds	NNS
35	of	IN
36	having	VBG
37	been	VBN
38	sufficiently	RB
39	involved	JJ
40	in	IN
41	Baath	NNP
42	activities	NNS
43	to	TO
44	warrant	VB
45	their	PRP$
46	being	VBG
47	excluded	VBN
48	from	IN
49	civil	JJ
50	office	NN
51	.	.
		
1	The	DT
2	Commission	NN
3	said	VBD
4	it	PRP
5	had	VBD
6	no	DT
7	legal	JJ
8	grounds	NNS
9	for	IN
10	such	PDT
11	an	DT
12	exclusion	NN
13	.	.
		
1	This	DT
2	item	NN
3	is	VBZ
4	a	DT
5	small	JJ
6	one	NN
7	and	CC
8	easily	RB
9	missed	VBN
10	.	.
		
1	But	CC
2	in	IN
3	my	PRP$
4	view	NN
5	it	PRP
6	is	VBZ
7	highly	RB
8	significant	JJ
9	.	.
		
1	The	DT
2	Debaathification	NNP
3	Commission	NNP
4	had	VBD
5	been	VBN
6	pushed	VBN
7	by	IN
8	Ahmad	NNP
9	Chalabi	NNP
10	and	CC
11	his	PRP$
12	Iraqi	NNP
13	National	NNP
14	Congress	NNP
15	very	RB
16	hard	RB
17	,	,
18	and	CC
19	had	VBD
20	pushed	VBN
21	many	JJ
22	Sunni	JJ
23	Arabs	NNPS
24	into	IN
25	the	DT
26	arms	NNS
27	of	IN
28	the	DT
29	guerrillas	NNS
30	.	.
		
1	Chalabi	NNP
2	has	VBZ
3	been	VBN
4	increasingly	RB
5	marginalized	VBN
6	within	IN
7	Iraq	NNP
8	,	,
9	however	RB
10	,	,
11	despite	IN
12	his	PRP$
13	ties	NNS
14	of	IN
15	clientelage	NN
16	with	IN
17	Washington	NNP
18	and	CC
19	Tehran	NNP
20	.	.
		
1	He	PRP
2	is	VBZ
3	no	RB
4	longer	RBR
5	in	IN
6	the	DT
7	dominant	JJ
8	Shiite	JJ
9	list	NN
10	,	,
11	the	DT
12	United	NNP
13	Iraqi	NNP
14	Alliance	NNP
15	,	,
16	and	CC
17	wo	MD
18	n't	RB
19	have	VB
20	many	JJ
21	seats	NNS
22	in	IN
23	the	DT
24	new	JJ
25	parliament	NN
26	.	.
		
1	Some	DT
2	2,000	CD
3	junior	JJ
4	officers	NNS
5	of	IN
6	the	DT
7	old	JJ
8	Baath	NNP
9	army	NN
10	have	VBP
11	been	VBN
12	recalled	VBN
13	to	IN
14	duty	NN
15	in	IN
16	recent	JJ
17	months	NNS
18	,	,
19	something	NN
20	Chalabi	NNP
21	would	MD
22	have	VB
23	blocked	VBN
24	if	IN
25	he	PRP
26	could	MD
27	have	VB
28	.	.
		
1	Now	RB
2	the	DT
3	Electoral	NNP
4	Commission	NNP
5	is	VBZ
6	refusing	VBG
7	to	TO
8	punish	VB
9	people	NNS
10	for	IN
11	mere	JJ
12	past	JJ
13	Baath	NNP
14	Party	NNP
15	membership	NN
16	.	.
		
1	The	DT
2	situation	NN
3	in	IN
4	Iraq	NNP
5	is	VBZ
6	only	RB
7	going	VBG
8	to	TO
9	get	VB
10	better	JJR
11	this	DT
12	way	NN
13	.	.
		
1	If	IN
2	someone	NN
3	committed	VBD
4	a	DT
5	crime	NN
6	against	IN
7	humanity	NN
8	,	,
9	prosecute	VB
10	the	DT
11	person	NN
12	.	.
		
1	If	IN
2	he	PRP
3	or	CC
4	she	PRP
5	did	VBD
6	not	RB
7	,	,
8	then	RB
9	they	PRP
10	should	MD
11	have	VB
12	all	PDT
13	the	DT
14	same	JJ
15	rights	NNS
16	as	IN
17	other	JJ
18	Iraqis	NNPS
19	.	.
		
1	Al	NNP
2	-	HYPH
3	Sharq	NNP
4	al	NNP
5	-	HYPH
6	Awsat	NNP
7	reports	VBZ
8	that	IN
9	a	DT
10	key	JJ
11	eyewitness	NN
12	in	IN
13	the	DT
14	trial	NN
15	of	IN
16	Saddam	NNP
17	Hussein	NNP
18	for	IN
19	a	DT
20	1982	CD
21	massacre	NN
22	at	IN
23	Dujail	NNP
24	has	VBZ
25	died	VBN
26	.	.
		
1	A	DT
2	team	NN
3	from	IN
4	the	DT
5	court	NN
6	managed	VBD
7	to	TO
8	take	VB
9	his	PRP$
10	deposition	NN
11	before	IN
12	he	PRP
13	died	VBD
14	.	.
		
1	The	DT
2	trial	NN
3	begins	VBZ
4	again	RB
5	Nov.	NNP
6	28	CD
7	.	.
		
1	In	IN
2	Baghdad	NNP
3	the	DT
4	fighting	NN
5	still	RB
6	continues	VBZ
7	in	IN
8	several	JJ
9	areas	NNS
10	,	,
11	mostly	RB
12	in	IN
13	Sadr	NNP
14	city	NN
15	and	CC
16	Adhamiya	NNP
17	.	.
		
1	Baghdadis	NNPS
2	do	VBP
3	n't	RB
4	venture	VB
5	much	RB
6	out	IN
7	of	IN
8	their	PRP$
9	neighbourhoods	NNS
10	any	RB
11	more	RBR
12	,	,
13	you	PRP
14	never	RB
15	know	VBP
16	where	WRB
17	you	PRP
18	might	MD
19	get	VB
20	stuck	JJ
21	.	.
		
1	There	EX
2	has	VBZ
3	been	VBN
4	talk	NN
5	that	IN
6	the	DT
7	night	NN
8	curfew	NN
9	might	MD
10	be	VB
11	implemented	VBN
12	again	RB
13	.	.
		
1	My	PRP$
2	neighbourhood	NN
3	has	VBZ
4	been	VBN
5	surrounded	VBN
6	by	IN
7	American	JJ
8	troops	NNS
9	for	IN
10	three	CD
11	days	NNS
12	now	RB
13	,	,
14	helicopters	NNS
15	have	VBP
16	been	VBN
17	circling	VBG
18	over	IN
19	our	PRP$
20	heads	NNS
21	non-stop	RB
22	.	.
		
1	Fedayeen	NNS
2	are	VBP
3	now	RB
4	visible	JJ
5	on	IN
6	the	DT
7	street	NN
8	and	CC
9	they	PRP
10	have	VBP
11	become	VBN
12	bolder	JJR
13	than	IN
14	ever	RB
15	.	.
		
1	Yesterday	NN
2	there	EX
3	were	VBD
4	tens	NNS
5	of	IN
6	them	PRP
7	putting	VBG
8	road	NN
9	blocks	NNS
10	on	IN
11	our	PRP$
12	street	NN
13	and	CC
14	setting	VBG
15	up	RP
16	mortars	NNS
17	,	,
18	they	PRP
19	only	RB
20	come	VBP
21	out	RB
22	in	IN
23	the	DT
24	open	JJ
25	when	WRB
26	Americans	NNPS
27	leave	VBP
28	the	DT
29	area	NN
30	,	,
31	then	RB
32	they	PRP
33	start	VB
34	firing	VBG
35	mortars	NNS
36	indiscriminately	RB
37	and	CC
38	shooting	VBG
39	their	PRP$
40	AK	NN
41	-	HYPH
42	47's	NNS
43	in	IN
44	the	DT
45	air	NN
46	.	.
		
1	They	PRP
2	are	VBP
3	setting	VBG
4	the	DT
5	road	NN
6	blocks	NNS
7	at	IN
8	the	DT
9	exact	RB
10	same	JJ
11	positions	NNS
12	they	PRP
13	were	VBD
14	during	IN
15	the	DT
16	war	NN
17	last	JJ
18	year	NN
19	,	,
20	which	WDT
21	indicates	VBZ
22	they	PRP
23	are	VBP
24	the	DT
25	same	JJ
26	people	NNS
27	.	.
		
1	And	CC
2	there	EX
3	is	VBZ
4	nothing	NN
5	we	PRP
6	can	MD
7	do	VB
8	about	IN
9	it	PRP
10	really	RB
11	,	,
12	people	NNS
13	who	WP
14	are	VBP
15	suggesting	VBG
16	that	IN
17	we	PRP
18	go	VBP
19	out	RB
20	and	CC
21	fight	VBP
22	them	PRP
23	are	VBP
24	living	VBG
25	in	IN
26	dream	NN
27	land	NN
28	.	.
		
1	Even	RB
2	the	DT
3	IP	NNP
4	and	CC
5	ICDC	NNP
6	have	VBP
7	abandoned	VBN
8	the	DT
9	neighbourhood	NN
10	,	,
11	and	CC
12	those	DT
13	are	VBP
14	trained	JJ
15	and	CC
16	armed	JJ
17	,	,
18	so	RB
19	do	VBP
20	n't	RB
21	expect	VB
22	scared	JJ
23	civilians	NNS
24	to	TO
25	do	VB
26	anything	NN
27	except	IN
28	to	TO
29	hide	VB
30	inside	RB
31	and	CC
32	pray	VB
33	a	DT
34	helicopter	NN
35	or	CC
36	a	DT
37	tank	NN
38	does	VBZ
39	n't	RB
40	bomb	VB
41	them	PRP
42	,	,
43	and	CC
44	also	RB
45	how	WRB
46	are	VBP
47	American	JJ
48	soldiers	NNS
49	going	VBG
50	to	TO
51	distinguish	VB
52	the	DT
53	brave	JJ
54	and	CC
55	valiant	JJ
56	civilians	NNS
57	from	IN
58	the	DT
59	Fedayeen	NNS
60	?	.
		
1	Everyone	NN
2	is	VBZ
3	apprehensive	JJ
4	,	,
5	there	EX
6	is	VBZ
7	some	DT
8	talk	NN
9	that	IN
10	April	NNP
11	9th	NN
12	and	CC
13	10th	NN
14	are	VBP
15	going	VBG
16	to	TO
17	be	VB
18	bloody	JJ
19	days	NNS
20	.	.
		
1	Most	JJS
2	people	NNS
3	have	VBP
4	n't	RB
5	gone	VBN
6	to	IN
7	work	NN
8	the	DT
9	last	JJ
10	few	JJ
11	days	NNS
12	,	,
13	although	IN
14	it	PRP
15	seems	VBZ
16	that	IN
17	the	DT
18	rest	NN
19	of	IN
20	Baghdad	NNP
21	is	VBZ
22	'	'
23	normal	JJ
24	'	'
25	(	-LRB-
26	if	IN
27	you	PRP
28	can	MD
29	define	VB
30	what	WP
31	normal	NN
32	is	VBZ
33	)	-RRB-
34	.	.
		
1	There	EX
2	are	VBP
3	rumours	NNS
4	about	IN
5	preparations	NNS
6	by	IN
7	slum	NN
8	dwellers	NNS
9	for	IN
10	another	DT
11	looting	NN
12	spree	NN
13	against	IN
14	banks	NNS
15	,	,
16	governmental	JJ
17	and	CC
18	public	JJ
19	property	NN
20	similar	JJ
21	to	IN
22	the	DT
23	one	NN
24	that	WDT
25	took	VBD
26	place	NN
27	last	JJ
28	April	NNP
29	,	,
30	and	CC
31	I	PRP
32	have	VBP
33	already	RB
34	overheard	VBN
35	youngsters	NNS
36	in	IN
37	my	PRP$
38	neighbourhood	NN
39	joking	VBG
40	about	IN
41	it	PRP
42	and	CC
43	saying	VBG
44	things	NNS
45	like	IN
46	'	'
47	This	DT
48	time	NN
49	we	PRP
50	will	MD
51	be	VB
52	the	DT
53	first	JJ
54	to	TO
55	loot	VB
56	,	,
57	we	PRP
58	did	VBD
59	n't	RB
60	get	VB
61	anything	NN
62	the	DT
63	last	JJ
64	time	NN
65	'	'
66	.	.
		
1	Mosques	NNS
2	are	VBP
3	calling	VBG
4	for	IN
5	donating	VBG
6	blood	NN
7	,	,
8	food	NN
9	,	,
10	and	CC
11	medicine	NN
12	for	IN
13	Fallujah	NNP
14	,	,
15	and	CC
16	several	JJ
17	convoys	NNS
18	have	VBP
19	already	RB
20	headed	VBN
21	out	RB
22	for	IN
23	Fallujah	NNP
24	,	,
25	most	JJS
26	of	IN
27	them	PRP
28	returned	VBD
29	later	RB
30	though	RB
31	.	.
		
1	What	WP
2	irritates	VBZ
3	me	PRP
4	is	VBZ
5	this	DT
6	sudden	JJ
7	false	JJ
8	'	'
9	solidarity	NN
10	'	'
11	between	IN
12	Sunni	JJ
13	and	CC
14	Shi'ite	JJ
15	clerics	NNS
16	,	,
17	we	PRP
18	all	DT
19	know	VBP
20	that	IN
21	they	PRP
22	would	MD
23	be	VB
24	glad	JJ
25	to	TO
26	get	VB
27	at	IN
28	each	DT
29	other	JJ
30	s	POS
31	throats	NNS
32	when	WRB
33	they	PRP
34	have	VBP
35	the	DT
36	chance	NN
37	,	,
38	and	CC
39	Shia	JJ
40	clerics	NNS
41	were	VBD
42	describing	VBG
43	Fallujan	JJ
44	insurgents	NN
45	as	IN
46	'	'
47	Ba'athists	NNPS
48	'	'
49	,	,
50	'	'
51	Saddamites	NNPS
52	'	'
53	,	,
54	'	'
55	Wahhabis	NNPS
56	'	'
57	,	,
58	and	CC
59	'	'
60	terrorists	NNS
61	'	'
62	just	RB
63	a	DT
64	few	JJ
65	days	NNS
66	ago	RB
67	.	.
		
1	So	RB
2	what	WP
3	happened	VBD
4	?	.
		
1	I	PRP
2	guess	VBP
3	it	PRP
4	's	VBZ
5	just	RB
6	the	DT
7	old	JJ
8	new	JJ
9	Arab	JJ
10	'	'
11	Me	PRP
12	against	IN
13	my	PRP$
14	brother	NN
15	,	,
16	me	PRP
17	and	CC
18	my	PRP$
19	brother	NN
20	against	IN
21	my	PRP$
22	cousin	NN
23	,	,
24	me	PRP
25	and	CC
26	my	PRP$
27	cousin	NN
28	against	IN
29	my	PRP$
30	enemy	NN
31	'	'
32	,	,
33	or	CC
34	'	'
35	The	DT
36	enemy	NN
37	of	IN
38	my	PRP$
39	enemy	NN
40	is	VBZ
41	my	PRP$
42	friend	NN
43	'	'
44	thing	NN
45	going	VBG
46	on	RP
47	again	RB
48	.	.
		
1	Speaking	VBG
2	of	IN
3	Fallujah	NNP
4	,	,
5	we	PRP
6	have	VBP
7	only	RB
8	Al	NNP
9	-	HYPH
10	Jazeera	NNP
11	to	TO
12	rely	VB
13	on	IN
14	for	IN
15	our	PRP$
16	news	NN
17	from	IN
18	there	RB
19	.	.
		
1	They	PRP
2	have	VBP
3	sent	VBN
4	over	RB
5	their	PRP$
6	top	JJ
7	reporter	NN
8	Ahmed	NNP
9	Mansour	NNP
10	to	IN
11	the	DT
12	town	NN
13	,	,
14	and	CC
15	he	PRP
16	is	VBZ
17	spouting	VBG
18	all	DT
19	kinds	NNS
20	of	IN
21	propaganda	NN
22	hourly	RB
23	reminding	VBG
24	me	PRP
25	of	IN
26	Al	NNP
27	-	HYPH
28	Sahhaf	NNP
29	.	.
		
1	'	'
2	They	PRP
3	are	VBP
4	targetting	VBG
5	ambulances	NNS
6	'	'
7	,	,
8	'	'
9	American	JJ
10	snipers	NNS
11	are	VBP
12	shooting	VBG
13	children	NNS
14	and	CC
15	pregnant	JJ
16	women	NNS
17	'	'
18	,	,
19	and	CC
20	'	'
21	They	PRP
22	are	VBP
23	using	VBG
24	cluster	NN
25	bombs	NNS
26	against	IN
27	civilians	NNS
28	'	'
29	is	VBZ
30	all	DT
31	you	PRP
32	get	VBP
33	to	TO
34	hear	VB
35	from	IN
36	him	PRP
37	.	.
		
1	He	PRP
2	did	VBD
3	once	RB
4	make	VB
5	an	DT
6	unforgivable	JJ
7	error	NN
8	when	WRB
9	he	PRP
10	mentioned	VBD
11	that	IN
12	Fallujan	JJ
13	militants	NNS
14	were	VBD
15	shooting	VBG
16	at	IN
17	the	DT
18	Marines	NNPS
19	from	IN
20	the	DT
21	roofs	NNS
22	of	IN
23	mosques	NNS
24	and	CC
25	houses	NNS
26	in	IN
27	Hay	NNP
28	Al	NNP
29	-	HYPH
30	Golan	NNP
31	,	,
32	but	CC
33	of	RB
34	course	RB
35	that	DT
36	is	VBZ
37	okay	JJ
38	for	IN
39	Al	NNP
40	-	HYPH
41	Jazeera	NNP
42	.	.
		
1	Someone	NN
2	who	WP
3	called	VBD
4	himself	PRP
5	Abu	NNP
6	Hafs	NNP
7	from	IN
8	the	DT
9	Ibn	NNP
10	Al	NNP
11	-	HYPH
12	Khattab	NNP
13	Brigades	NNPS
14	(	-LRB-
15	another	DT
16	new	JJ
17	group	NN
18	)	-RRB-
19	was	VBD
20	on	IN
21	Al	NNP
22	-	HYPH
23	Jazeera	NNP
24	describing	VBG
25	the	DT
26	enormous	JJ
27	casualties	NNS
28	among	IN
29	the	DT
30	Marines	NNPS
31	and	CC
32	he	PRP
33	sweared	VBD
34	that	IN
35	American	JJ
36	soldiers	NNS
37	were	VBD
38	mutilating	VBG
39	the	DT
40	bodies	NNS
41	of	IN
42	dead	JJ
43	insurgents	NNS
44	.	.
		
1	Over	RB
2	300	CD
3	Iraqis	NNPS
4	are	VBP
5	reported	VBN
6	dead	JJ
7	and	CC
8	500	CD
8.1	reported	VBN
9	wounded	JJ
10	in	IN
11	Fallujah	NNP
12	alone	RB
13	.	.
		
1	Al	NNP
2	-	HYPH
3	Iraqiyah	NNP
4	tv	NNP
5	said	VBD
6	that	IN
7	ICDC	NNPS
8	were	VBD
9	controlling	VBG
10	Ramadi	NNP
11	.	.
		
1	Azzaman	NNP
2	newspaper	NN
3	mentioned	VBD
4	an	DT
5	announcement	NN
6	signed	VBN
7	by	IN
8	Abdul	NNP
9	Aziz	NNP
10	bin	NNP
11	Muqrin	NNP
12	,	,
13	an	DT
14	Al	NNP
15	-	HYPH
16	Qaeda	NNP
17	operative	NN
18	in	IN
19	Saudi	NNP
20	Arabia	NNP
21	on	IN
22	an	DT
23	Islamic	JJ
24	website	NN
25	'	'
26	the	DT
27	voice	NNP
28	of	IN
29	Jihad	NNP
30	'	'
31	,	,
32	in	IN
33	which	WDT
34	he	PRP
35	stated	VBD
36	that	IN
37	'	'
38	although	IN
39	mutilating	VBG
40	dead	JJ
41	bodies	NNS
42	is	VBZ
43	not	RB
44	originally	RB
45	permitted	VBN
46	in	IN
47	Islam	NNP
48	,	,
49	but	CC
50	in	IN
51	this	DT
52	case	NN
53	it	PRP
54	is	VBZ
55	allowed	VBN
56	if	IN
57	Muslims	NNPS
58	use	VBP
59	it	PRP
60	against	IN
61	infidels	NNS
62	to	TO
63	deter	VB
64	them	PRP
65	from	IN
66	committing	VBG
67	criminal	JJ
68	actions	NNS
69	'	'
70	.	.
		
1	He	PRP
2	added	VBD
3	that	IN
4	'	'
5	America	NNP
6	does	VBZ
7	not	RB
8	understand	VB
9	anything	NN
10	except	IN
11	the	DT
12	language	NN
13	of	IN
14	force	NN
15	and	CC
16	retaliation	NN
17	,	,
18	they	PRP
19	were	VBD
20	kicked	VBN
21	out	IN
22	of	IN
23	Somalia	NNP
24	in	IN
25	humiliation	NN
26	after	IN
27	that	DT
28	soldier	NN
29	was	VBD
30	dragged	VBN
31	in	IN
32	Mogadishu	NNP
33	for	IN
34	the	DT
35	whole	JJ
36	world	NN
37	to	TO
38	see	VB
39	'	'
40	,	,
41	and	CC
42	that	IN
43	'	'
44	the	DT
45	day	NN
46	will	MD
47	come	VB
48	when	WRB
49	the	DT
50	dead	JJ
51	bodies	NNS
52	of	IN
53	Americans	NNPS
54	and	CC
55	Jews	NNPS
56	would	MD
57	be	VB
58	dragged	VBN
59	,	,
60	defiled	VBN
61	,	,
62	and	CC
63	stepped	VBN
64	on	IN
65	in	IN
